1,Kayachikitsa I,1,Ramraksha PathaK ,Kayachikitsa I,150,chaukhamba  bharati acadamy,544,Nagpur,B.Dr.14107,31/05/2007,4,B.Dr.14107,31/05/2007,Student,Available,Kayachikitsa ,Hindi,1
2,Kayachikitsa I,2,Ramraksha PathaK ,Kayachikitsa I,150,chaukhamba  bharati acadamy,544,Nagpur,B.Dr.14107,1/6/2007,4,B.Dr.14107,31/05/2007,Student,Available,Kayachikitsa ,Hindi,
3,Kayachikitsa I,3,Ramraksha PathaK ,Kayachikitsa I,150,chaukhamba  bharati acadamy,544,Nagpur,B.Dr.14107,2/6/2007,4,B.Dr.14107,31/05/2007,Student,Available,Kayachikitsa ,Hindi,
4,Kayachikitsa I,4,Ramraksha PathaK ,Kayachikitsa I,150,chaukhamba  bharati acadamy,544,Nagpur,B.Dr.14107,31/05/2007,4,B.Dr.14107,31/05/2007,Student,Available,Kayachikitsa ,Hindi,
5,Kayachikitsa I,5,Ramraksha PathaK ,Kayachikitsa I,150,chaukhamba  bharati acadamy,544,Nagpur,B.Dr.14107,31/05/2007,4,B.Dr.14107,31/05/2007,Student,Available,Kayachikitsa ,Hindi,
6,Kayachikitsa I,6,Ramraksha PathaK ,Kayachikitsa I,150,chaukhamba  bharati acadamy,544,Nagpur,B.Dr.14107,31/05/2007,4,B.Dr.14107,31/05/2007,Student,Available,Kayachikitsa ,Hindi,
7,Kayachikitsa I,7,Ramraksha PathaK ,Kayachikitsa I,150,chaukhamba  bharati acadamy,544,Nagpur,B.Dr.14107,31/05/2007,4,B.Dr.14107,31/05/2007,Student,Available,Kayachikitsa ,Hindi,
8,Kayachikitsa I,8,Ramraksha PathaK ,Kayachikitsa I,150,chaukhamba  bharati acadamy,544,Nagpur,B.Dr.14107,31/05/2007,4,B.Dr.14107,31/05/2007,Student,Available,Kayachikitsa ,Hindi,
9,Kayachikitsa I,9,Ramraksha PathaK ,Kayachikitsa I,150,chaukhamba  bharati acadamy,544,Nagpur,B.Dr.14107,31/05/2007,4,B.Dr.14107,31/05/2007,Student,Available,Kayachikitsa ,Hindi,
10,Kayachikitsa I,10,Ramraksha PathaK ,Kayachikitsa I,150,chaukhamba  bharati acadamy,544,Nagpur,B.Dr.14107,31/05/2007,4,B.Dr.14107,31/05/2007,Student,Available,Kayachikitsa ,Hindi,
11,Kayachikitsa II,11,Ramraksha PathaK ,Kayachikitsa II,150,chaukhamba  bharati acadamy,544,Nagpur,B.Dr.14107,31/05/2007,4,B.Dr.14107,31/05/2007,Student,Available,Kayachikitsa ,Hindi,
12,Kayachikitsa II,12,Ramraksha PathaK ,Kayachikitsa II,150,chaukhamba  bharati acadamy,544,Nagpur,B.Dr.14107,31/05/2007,4,B.Dr.14107,31/05/2007,Student,Available,Kayachikitsa ,Hindi,
